dataset,backbone,phase,seed,trace_file,mse,mae,static_mse,static_mae,elf_mse,elf_mae,independent_mse,mse_vs_static_pct,mae_vs_static_pct,mse_vs_elf_pct,mae_vs_elf_pct,mse_vs_independent_pct
ETTm2,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_ETTm2_patchtst_s2.npz,0.0950628131140407,0.2069605822163414,0.1181136857595896,0.2356635782040746,0.0864136868286634,0.1928892864542606,0.0983789131352597,19.51583552516257,12.17964872063414,-10.00897728449699,-7.295011568938259,3.3707426881813163
appliances,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_appliances_dlinear_s0.npz,0.184437776620477,0.2491724253073201,0.2325691323577365,0.288067985401393,0.1933754312536919,0.2562543002001724,0.2058915503699175,20.69550470834799,13.502215471766476,4.621918397425251,2.7636121178533424,10.419938900307102
appliances,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_appliances_dlinear_s1.npz,0.1843014865684048,0.2488718778808466,0.2338600692508775,0.2927677249626008,0.1933039000583246,0.2568790705637395,0.2049152499470166,21.191553924200647,14.993403759708002,4.657129777104119,3.1171059071961715,10.05965314145324
appliances,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_appliances_dlinear_s2.npz,0.1840649861975555,0.2494699198992756,0.2466048524107624,0.3041905111067944,0.1939093040288901,0.2577301486109051,0.2051096589698273,25.36035507891632,17.988921156159144,5.076764047313542,3.2049912500147104,10.260205627550487
appliances,patchtst,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_appliances_patchtst_s0.npz,0.1854737505249419,0.2507248473865242,0.4215198580785002,0.3737964312429308,0.1807131586071862,0.2486589281895291,0.1931333567704528,55.99881073920818,32.9247616000973,-2.634336068522636,-0.8308244598482561,3.965967543667104
appliances,patchtst,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_appliances_patchtst_s1.npz,0.1854030130197411,0.2519331729061035,0.4488101578057485,0.3891468014261809,0.182556890728059,0.251877439942578,0.1944816138028537,58.69010319949437,35.260119835806,-1.5590330665314456,-0.0221270168293763,4.6681023494156815
appliances,patchtst,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_appliances_patchtst_s2.npz,0.1830377252174576,0.2496097980319374,0.4399032140442657,0.3861921650488502,0.1823687450361065,0.2503712466187478,0.1886595318168212,58.391364424302814,35.36642619345638,-0.3668283077885137,0.304127809041077,2.9798688384438665
bdg2,dlinear,legacy,0,results/tsf_edge/elf_real/real_losses_legacy_bdg2_dlinear_s0.npz,0.1931369060846976,0.281471842566957,0.2169297286897772,0.3063098620758142,0.1840960741449646,0.265918717014358,0.1956956913475805,10.96798615329705,8.108788708445026,-4.9109314154161865,-5.848826937503349,1.307532754177121
bdg2,dlinear,legacy,1,results/tsf_edge/elf_real/real_losses_legacy_bdg2_dlinear_s1.npz,0.1926182807618125,0.2832497089220179,0.2259040573703685,0.3231701026239107,0.1834457099538986,0.2674575823604663,0.1949788222227017,14.734474889923776,12.352749644155702,-5.00015552842259,-5.904535000345512,1.2106655656135556
bdg2,dlinear,legacy,2,results/tsf_edge/elf_real/real_losses_legacy_bdg2_dlinear_s2.npz,0.1928679644708071,0.2810598340009146,0.2192738890418393,0.3102973736013716,0.1841439928477116,0.2663724436871419,0.1955356314846867,12.042439109562064,9.422425739902474,-4.737581437321348,-5.513855003343826,1.364286904450207
