dataset,backbone,phase,seed,candidate,mse,mae,static_mse,static_mae,state_bytes,mse_reduction_pct,mae_reduction_pct
ETTh2,patchtst,refit,1,half512,0.1407147259363471,0.2535212732879502,0.1664075379820363,0.3015645126549745,4528,15.439692430557294,15.931330561428314
ETTh2,patchtst,refit,2,half512,0.135525064874204,0.2459967761734955,0.1599854921813644,0.2673008961640645,4528,15.289153393628553,7.970089250090995
ETTm1,dlinear,legacy,0,half512,0.2511812724562647,0.3297854919917035,0.2635142382218697,0.3388971904247036,4528,4.680189521759759,2.688632036630756
ETTm1,dlinear,legacy,1,half512,0.2492849281825759,0.3283249075793431,0.2623566254997903,0.3376587980789953,4528,4.982415554519637,2.7642965480995874
ETTm1,dlinear,legacy,2,half512,0.2474987999270023,0.3265275233880354,0.261279788061064,0.336583064442178,4528,5.274417985535463,2.98753624779301
ETTm1,dlinear,refit,0,half512,0.2502122148609531,0.3297040130495126,0.2640003862547807,0.3391195211912552,4528,5.222784553247184,2.776457134837873
ETTm1,dlinear,refit,1,half512,0.2548485754772926,0.3343108311947007,0.2714258901522042,0.3471124218506225,4528,6.107492054503616,3.6880243546659752
ETTm1,dlinear,refit,2,half512,0.2404397269904581,0.3195314339507114,0.2553406141308773,0.3337978190333607,4528,5.835690178445951,4.273959944964023
ETTm1,patchtst,legacy,0,half512,0.2890441585017283,0.3521234008004295,0.3149530581001868,0.3625275199409553,4528,8.226273386498395,2.8698839586634217
ETTm1,patchtst,legacy,1,half512,0.2862942714467569,0.3503804898859616,0.3319671501115121,0.3747531882814637,4528,13.758252480528,6.503666721895007
ETTm1,patchtst,legacy,2,half512,0.2794503688552873,0.3418298265039736,0.3215011110080605,0.3614150700545651,4528,13.079501349442912,5.419044520648953
ETTm1,patchtst,refit,0,half512,0.283445082097858,0.3469273620801335,0.3202909894711344,0.3598315111578848,4528,11.503885087156673,3.5861642678896244
ETTm1,patchtst,refit,1,half512,0.2805893247530149,0.3490975120734691,0.3116047794356251,0.3632477510041613,4528,9.953459230883755,3.8954787446241035
ETTm1,patchtst,refit,2,half512,0.2737755825444674,0.3382422762218783,0.2998470838676395,0.3471134999125111,4528,8.69493242584969,2.5557126682969056
ETTm2,dlinear,legacy,0,half512,0.0894526297307214,0.1977047135790002,0.0971136191848692,0.2083302455210748,4528,7.888687002349326,5.100330926744712
ETTm2,dlinear,legacy,1,half512,0.0901468567091349,0.1986112638492798,0.0966370985927592,0.2062022960647236,4528,6.716097625172901,3.681351934636601
ETTm2,dlinear,legacy,2,half512,0.0891247599927087,0.197196773994932,0.0959383208140483,0.2057721404966221,4528,7.102022177921919,4.16740890238777
ETTm2,dlinear,refit,0,half512,0.0901451661348823,0.198383960005177,0.1020296539490166,0.2151515579462906,4528,11.64807225561393,7.793389042202237
ETTm2,dlinear,refit,1,half512,0.0908006603595516,0.1998072802611812,0.1037356796600981,0.2172191392258054,4528,12.46920957468981,8.015803315804549
ETTm2,dlinear,refit,2,half512,0.0904914689590585,0.2000635890400533,0.1031248961800944,0.2162797652883896,4528,12.250608426284614,7.497777809548422
ETTm2,patchtst,legacy,0,half512,0.0942501629003465,0.2025030254866543,0.1215281886361414,0.2340904681503667,4528,22.445842435343145,13.49369024432997
ETTm2,patchtst,legacy,1,half512,0.0957072268356839,0.2048536251470129,0.1086063531218815,0.2189022877298879,4528,11.876953709809024,6.417777871837583
ETTm2,patchtst,legacy,2,half512,0.0960610491356099,0.2080225752180459,0.1181136857595897,0.2356635782040747,4528,18.670687043723333,11.729009292260194
ETTm2,patchtst,refit,0,half512,0.0892759502052936,0.1977954703054086,0.1284445097311806,0.2427223750192446,4528,30.49453776409925,18.509585162996988
