dataset,backbone,seed,arm,mse,mae
appliances,patchtst,1,sf_base,0.5416519806928229,0.4272411785687588
appliances,patchtst,1,sf_joint_boundary,0.19110004402346556,0.25872034630670415
appliances,patchtst,1,sf_joint_adapter,0.33486834855566794,0.337975928590506
appliances,patchtst,1,sf_joint_adapter_global,0.3350081675144567,0.3383057613020505
appliances,patchtst,2,mae_base,0.4374494261987663,0.37915822646475833
appliances,patchtst,2,mae_joint_boundary,0.1916434751138788,0.2576008873885429
appliances,patchtst,2,mae_joint_adapter,0.3601299340312427,0.34980217252067924
appliances,patchtst,2,mae_joint_adapter_global,0.360238926865466,0.34992490013664446
appliances,patchtst,2,sf_base,0.4414014866982619,0.38528432534537677
appliances,patchtst,2,sf_joint_boundary,0.18937256573477096,0.2558987549666937
appliances,patchtst,2,sf_joint_adapter,0.34843718678613617,0.34527630185300806
appliances,patchtst,2,sf_joint_adapter_global,0.3484990908478095,0.34534643078938504
bdg2,dlinear,0,mae_base,0.24962271416391615,0.32776794831677836
bdg2,dlinear,0,mae_joint_boundary,0.21580549038838412,0.30634644237384345
bdg2,dlinear,0,mae_joint_adapter,0.23432810005390767,0.3135584886315493
bdg2,dlinear,0,mae_joint_adapter_global,0.23305062208893915,0.31591653551184834
bdg2,dlinear,0,sf_base,0.24883918824341397,0.3269818889493033
bdg2,dlinear,0,sf_joint_boundary,0.21468800282826073,0.30526396335095235
bdg2,dlinear,0,sf_joint_adapter,0.23376135697250058,0.3128910993986334
bdg2,dlinear,0,sf_joint_adapter_global,0.23257787735477478,0.3153783109075573
bdg2,dlinear,1,mae_base,0.24240584643242144,0.32626570398958776
bdg2,dlinear,1,mae_joint_boundary,0.21453910123301695,0.3057359873718575
bdg2,dlinear,1,mae_joint_adapter,0.23729223340348568,0.3176919712426044
