dataset,backbone,seed,phase,arm,mse,mae,static_mse,static_mae,mse_reduction_pct,mae_reduction_pct,state_bytes,lr,parameter_bytes,optimizer_bytes,context_bytes,schedule_bytes,method,cohort
appliances,dlinear,1,legacy,fac_global,0.1861368353770681,0.2564215048650535,0.2338600692508775,0.2927677249626007,20.40674751644476,12.414694994876996,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,1,legacy,proposed_global,0.1843014865684048,0.2488718778808466,0.2338600692508775,0.2927677249626007,21.19155392420067,14.993403759707991,13192,,,,,,Proposed,main
appliances,dlinear,1,legacy,static,0.2338600692508775,0.2927677249626007,0.2338600692508775,0.2927677249626007,0.0,0.0,0,,,,,,Static,main
appliances,dlinear,2,legacy,cosa_global,0.2190090749396952,0.2834253407087497,0.2466048524107625,0.3041905111067944,11.19028161907446,6.826370198889775,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,dlinear,2,legacy,fac_global,0.1863040765564128,0.25721346803987,0.2466048524107625,0.3041905111067944,24.452388209258924,15.443296668261898,77952,0.01,25800.0,51624.0,0.0,0.0,FAC,main
appliances,dlinear,2,legacy,proposed_global,0.1840649861975555,0.2494699198992756,0.2466048524107625,0.3041905111067944,25.360355078916356,17.988921156159144,13192,,,,,,Proposed,main
appliances,dlinear,2,legacy,static,0.2466048524107625,0.3041905111067944,0.2466048524107625,0.3041905111067944,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,0,legacy,cosa_global,0.2029855265905063,0.2662095673534917,0.4215198580785002,0.3737964312429307,51.84437394816543,28.78220734523765,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,0,legacy,fac_global,0.191259181530551,0.262104811555776,0.4215198580785002,0.3737964312429307,54.626293906435,29.880333345014275,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,0,legacy,proposed_global,0.1854737505249419,0.2507248473865242,0.4215198580785002,0.3737964312429307,55.99881073920818,32.924761600097284,13192,,,,,,Proposed,main
appliances,patchtst,0,legacy,static,0.4215198580785002,0.3737964312429307,0.4215198580785002,0.3737964312429307,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,1,legacy,cosa_global,0.2052831905119179,0.2712902133872213,0.4488101578057486,0.3891468014261809,54.26057388817671,30.285894065434405,263256,0.005,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,1,legacy,fac_global,0.1927187225863788,0.2641909639616851,0.4488101578057486,0.3891468014261809,57.0600800283602,32.11020545628184,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,1,legacy,proposed_global,0.1854030130197411,0.2519331729061035,0.4488101578057486,0.3891468014261809,58.69010319949438,35.26011983580598,13192,,,,,,Proposed,main
appliances,patchtst,1,legacy,static,0.4488101578057486,0.3891468014261809,0.4488101578057486,0.3891468014261809,0.0,0.0,0,,,,,,Static,main
appliances,patchtst,2,legacy,cosa_global,0.2063679373007232,0.270701470001463,0.4399032140442658,0.3861921650488502,53.08787689831309,29.90498137961409,263256,0.001,87464.0,175140.0,80.0,44.0,COSA,main
appliances,patchtst,2,legacy,fac_global,0.1901131368687195,0.2596726406847807,0.4399032140442658,0.3861921650488502,56.78296252466362,32.76076933048753,77952,0.005,25800.0,51624.0,0.0,0.0,FAC,main
appliances,patchtst,2,legacy,proposed_global,0.1830377252174576,0.2496097980319374,0.4399032140442658,0.3861921650488502,58.391364424302814,35.36642619345636,13192,,,,,,Proposed,main
appliances,patchtst,2,legacy,static,0.4399032140442658,0.3861921650488502,0.4399032140442658,0.3861921650488502,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,0,legacy,cosa_global,0.2015839452986546,0.2864731274375481,0.2169297286897772,0.3063098620758142,7.07408038714139,6.476035248697398,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,0,legacy,fac_global,0.1999210474852892,0.2862502540328223,0.2169297286897772,0.3063098620758142,7.840640979554935,6.548796015593839,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,dlinear,0,legacy,proposed_global,0.1931369060846976,0.281471842566957,0.2169297286897772,0.3063098620758142,10.967986153297035,8.108788708445047,8176,,,,,,Proposed,main
bdg2,dlinear,0,legacy,static,0.2169297286897772,0.3063098620758142,0.2169297286897772,0.3063098620758142,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,1,legacy,cosa_global,0.1997095827817962,0.2855550466894044,0.2259040573703685,0.3231701026239107,11.595398016967252,11.63939845582832,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,1,legacy,fac_global,0.1986540220767774,0.2863700716600849,0.2259040573703685,0.3231701026239107,12.062658639598856,11.387201558880534,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
bdg2,dlinear,1,legacy,proposed_global,0.1926182807618126,0.2832497089220179,0.2259040573703685,0.3231701026239107,14.734474889923764,12.352749644155724,8176,,,,,,Proposed,main
bdg2,dlinear,1,legacy,static,0.2259040573703685,0.3231701026239107,0.2259040573703685,0.3231701026239107,0.0,0.0,0,,,,,,Static,main
bdg2,dlinear,2,legacy,cosa_global,0.2003214285835264,0.2840089516809325,0.2192738890418393,0.3102973736013715,8.6432819434769,8.47200916183417,152156,0.005,50460.0,101044.0,80.0,44.0,COSA,main
bdg2,dlinear,2,legacy,fac_global,0.1982238899704708,0.283792144784397,0.2192738890418393,0.3102973736013715,9.599865794942865,8.54187984556547,45216,0.01,14888.0,29800.0,0.0,0.0,FAC,main
