dataset,backbone,kind,seed,rank,arm,mse,mae,state_bytes
ETTm1,patchtst,mae,0,4,base,0.3494601885922084,0.3884536788273764,0
ETTm1,patchtst,mae,0,4,boundary,0.2773705838987858,0.3518185103626935,4528
ETTm1,patchtst,mae,0,4,adapter,0.34251059155281893,0.38498920992502594,1440
ETTm1,patchtst,mae,0,4,adapter_global,0.34236675471045447,0.3849206937887868,1968
ETTm1,patchtst,sf,0,2,base,0.3371770680307979,0.3845145087958148,0
ETTm1,patchtst,sf,0,2,boundary,0.2771361644325306,0.35154081243826024,4528
ETTm1,patchtst,sf,0,2,adapter,0.3413341293731355,0.38772891890726857,1056
ETTm1,patchtst,sf,0,2,adapter_global,0.3374575472257365,0.3847871648116087,1584
ETTm1,patchtst,sf,0,4,base,0.33921378341272124,0.3854960689385327,0
ETTm1,patchtst,sf,0,4,boundary,0.2787527964536581,0.35164200750337643,4528
ETTm1,patchtst,sf,0,4,adapter,0.32592807696079545,0.37753024206179536,1440
ETTm1,patchtst,sf,0,4,adapter_global,0.32521687670274757,0.37711345665864576,1968
ETTm1,patchtst,mae,1,2,base,0.37987145328881605,0.4201219630629301,0
ETTm1,patchtst,mae,1,2,boundary,0.29577817453792193,0.364891109111942,4528
ETTm1,patchtst,mae,1,2,adapter,0.3448258699739186,0.39398478034586204,1056
ETTm1,patchtst,mae,1,2,adapter_global,0.3451392081520095,0.39446216746677404,1584
ETTm1,patchtst,mae,1,4,base,0.3508420975762901,0.3986210340869303,0
ETTm1,patchtst,mae,1,4,boundary,0.2897942535667759,0.362408812631872,4528
ETTm1,patchtst,mae,1,4,adapter,0.3334437665797916,0.38853039919826493,1440
